@Homem-Aranha: A Nova Série Animada	2003	1664
1	8	dub	3:335259,11:2185723,9:335259,13:335259,15:335259,17:2185723
1	9	dub	3:339483,11:2185724,9:339483,13:339483,15:339483,17:2185724
1	10	dub	3:339484,11:2185725,9:339484,13:339484,15:339484,17:2185725
1	11	dub	3:339485,11:2185726,9:339485,13:339485,15:339485,17:2185726
1	12	dub	3:339486,11:2185727,9:339486,13:339486,15:339486,17:2185727
@Fontes Termais de Outro Mundo - Diários de um entusiasta de termas que foi transportado para um paraíso	2024	241021
1	1	leg	3:244164,11:2283219,9:244164,13:244164,15:244164,17:2283219
1	2	leg	3:244165,11:2283220,9:244165,13:244165,15:244165,17:2283220
1	3	leg	3:244166,11:2283221,9:244166,13:244166,15:244166,17:2283221
@Gantz	2004	11279
1	1	dub	https://embedplayer2.xyz/cdn/hls/146fa7f0d2b8baa9ac77a3bc7d3ecef9/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/2de2227f6cb29786835da8923f99ea59/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/6a265d8ac954e8d4114b4219aaf38e13/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/27a2a1c421b2a5f6f0feba55e778bc4b/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/2fb9851e8aeb06d3e966e716036dcda8/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/228488f9e98e484931a915e13ec47a5a/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/96a8afd5f146afc807ca4ecefc24cf58/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/a38bf3f650ee251fda6aae5408ee0ed8/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/27e1187b254c4e15d4d576e80ad90967/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/16f705e253cc3590814db90cc662aed9/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/ab591611b8c3e680be17e0e3cfe4198a/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/c285a56fa3788684fde9063d9c3eaa97/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/24ba9c2513ef683b51737f9fad35ce54/master.txt
@Sonic X	2003	10926
1	1	dub	https://embedplayer2.xyz/cdn/hls/212870757a2cd7316194f0d327cef215/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/8444750f880e1f31fbc67d96313a3730/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/2303725b90ce97a2e94183d8bad5445e/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/3b1ddbced87463635057535a0cdc4466/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/3c2d3e77c23f3a399a48a9f57fdd778f/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/7ac6b21e77368139446d07b8f9d9ada8/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/215326704084faa91db2aa23dded04d4/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/1b8f68bf644c950d0de01e566726f38a/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/70723e67e25459838a26fcd8092369a3/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/31e533c458e9234d8afbc382ba07e632/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/7c0b30ba75ae45ab92cea33d0caacaa4/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/c1d0a35afd724c151c0044feb48c8309/master.txt
1	13	dub	https://embedplayer2.xyz/cdn/hls/e5b2ada6e51464759d39c981472c699f/master.txt
1	14	dub	https://embedplayer2.xyz/cdn/hls/cf6240d7f3ad967bc9d5f0128971dfa5/master.txt
1	15	dub	https://embedplayer2.xyz/cdn/hls/065c61c8957fadb387bfc845b18aec02/master.txt
1	16	dub	https://embedplayer2.xyz/cdn/hls/29b6a945ba53c96dbdf395dd4a7db104/master.txt
1	17	dub	https://embedplayer2.xyz/cdn/hls/49e72bb382a79cb86c81527147e6fab8/master.txt
1	18	dub	https://embedplayer2.xyz/cdn/hls/b89cbe4d1345b50adad4ea3f55399d63/master.txt
1	19	dub	https://embedplayer2.xyz/cdn/hls/96dd8d7e6ca554e7fe350ecc73745e67/master.txt
1	20	dub	https://embedplayer2.xyz/cdn/hls/b2ceb2716557f01a5315661874421739/master.txt
1	21	dub	https://embedplayer2.xyz/cdn/hls/97e6a77d963f2213e3facff91f73c256/master.txt
1	22	dub	https://embedplayer2.xyz/cdn/hls/1251581bcd11472a853765960541a486/master.txt
1	23	dub	https://embedplayer2.xyz/cdn/hls/597d0227c4f8a0ffc0830b85677ee68b/master.txt
1	24	dub	https://embedplayer2.xyz/cdn/hls/9d0abd1b49ad1b827521d068bd22c777/master.txt
1	25	dub	https://embedplayer2.xyz/cdn/hls/ea433b9c06289810b0b1fcf0d1da6704/master.txt
1	26	dub	https://embedplayer2.xyz/cdn/hls/97661d37806034dc3acafdfe0871ff23/master.txt
2	1	dub	https://embedplayer2.xyz/cdn/hls/5e4e500830a33cdb9c6c79215b20660f/master.txt
2	2	dub	https://embedplayer2.xyz/cdn/hls/3e47b501086ba22d94dd2d1c89647bae/master.txt
2	3	dub	https://embedplayer2.xyz/cdn/hls/9ec46cb69dd0dc843c5c2fbc870cb654/master.txt
2	4	dub	https://embedplayer2.xyz/cdn/hls/26308d71092a3bf0347c075cf4f957aa/master.txt
2	5	dub	https://embedplayer2.xyz/cdn/hls/4d844fe0e29807047877002d16f02255/master.txt
2	6	dub	https://embedplayer2.xyz/cdn/hls/e66d49e484aa78a9a1958439d7f91773/master.txt
2	7	dub	https://embedplayer2.xyz/cdn/hls/b9d943758a1d187eec60776c77725303/master.txt
2	8	dub	https://embedplayer2.xyz/cdn/hls/c1bb88a28809a023f53346ed2b7ec5fe/master.txt
2	9	dub	https://embedplayer2.xyz/cdn/hls/7ec80106027e8b8d41241582baeef352/master.txt
2	10	dub	https://embedplayer2.xyz/cdn/hls/333e84aecfa7d630b19095344009e33f/master.txt
2	11	dub	https://embedplayer2.xyz/cdn/hls/a9c98192862337e827c96c1d81db48d0/master.txt
2	12	dub	https://embedplayer2.xyz/cdn/hls/277f6eb98d1b9fc66f318935a0a14122/master.txt
2	13	dub	https://embedplayer2.xyz/cdn/hls/7dbed8e97f7fc704344ad3fc526bc0a9/master.txt
2	14	dub	https://embedplayer2.xyz/cdn/hls/b6759415eea7c795537cfbee4707d0da/master.txt
2	15	dub	https://embedplayer2.xyz/cdn/hls/65ff327f1eb122ffb561cc8ee145fc2d/master.txt
2	16	dub	https://embedplayer2.xyz/cdn/hls/9503d1b28c9da832ac41f929fedb317d/master.txt
2	17	dub	https://embedplayer2.xyz/cdn/hls/b2f51df7d2c4a342b08edf12a7c0fc18/master.txt
2	18	dub	https://embedplayer2.xyz/cdn/hls/4b52bcba6e66d0c6dac657bed5c3ab6c/master.txt
2	19	dub	https://embedplayer2.xyz/cdn/hls/b8499bcdb3e528b37fe2f69d957abc4c/master.txt
2	20	dub	https://embedplayer2.xyz/cdn/hls/e99106d44d5ee12d7af1d2a201310ef6/master.txt
2	21	dub	https://embedplayer2.xyz/cdn/hls/70b2cf0e708d19d21c75a3d866558f98/master.txt
2	22	dub	https://embedplayer2.xyz/cdn/hls/49d78feea5e0c0bcc36261b1a7d1230b/master.txt
2	23	dub	https://embedplayer2.xyz/cdn/hls/32f45faa8016e8cf96eeffe9bd1d0319/master.txt
2	24	dub	https://embedplayer2.xyz/cdn/hls/aa552cccd789831dd150e1004137f816/master.txt
2	25	dub	https://embedplayer2.xyz/cdn/hls/80722df790ffeb30145a4b118c0ff910/master.txt
2	26	dub	https://embedplayer2.xyz/cdn/hls/04f33c5fec37bd031e7fadb02d288b5e/master.txt
