@A Juíza do Inferno	2024	235577
1	3	dub	https://embedplayer2.xyz/cdn/hls/c6a6e7507ff6aa2a343f578ba210f6dc/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/b8c4c7663f443fbf4902ced5552cf2af/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/4a8c00aec0ed0de21ff79f44c4acea4b/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/fe5c45830b99b062842df2ab22e65df6/master.txt
1	8	dub	https://embedplayer2.xyz/cdn/hls/69cadc24a80e2b9ea70b48f32c8f40d5/master.txt
1	9	dub	https://embedplayer2.xyz/cdn/hls/8dffcbdb85b6e79c6035220ded510c0a/master.txt
1	10	dub	https://embedplayer2.xyz/cdn/hls/921f83c422e7f0dcf568523a59479b93/master.txt
1	11	dub	https://embedplayer2.xyz/cdn/hls/dbfd89342772a84d2f8bacb3cdc1a442/master.txt
1	12	dub	https://embedplayer2.xyz/cdn/hls/39aeefa8418f3185d0cdc06037d0f338/master.txt
1	14	dub	https://embedplayer2.xyz/cdn/hls/bc438de4843b511f6c165ffb235c54e8/master.txt
1	15	dub	https://embedplayer2.xyz/cdn/hls/351957a60a2673c01519a926aa9febad/master.txt
@Quando Ninguém Vê	2024	219652
1	3	dub	https://embedplayer2.xyz/cdn/hls/45258e8ccf2c90347d6f7b6a722df3dc/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/265061066916c7fd63efdc61c36998db/master.txt
1	7	dub	https://embedplayer2.xyz/cdn/hls/7efbbf4e6e53c24dd832e224e65ae13e/master.txt
@Hierarchy	2024	226527
1	1	dub	https://embedplayer2.xyz/cdn/hls/6d2fe6d09835c986985f5d6777f04e59/master.txt
1	2	dub	https://embedplayer2.xyz/cdn/hls/afa8fe81549350132a7f8a74edaaff6b/master.txt
1	3	dub	https://embedplayer2.xyz/cdn/hls/7a3249189f5a162ae48c774db8d0ad88/master.txt
1	4	dub	https://embedplayer2.xyz/cdn/hls/5a170ee1afaa0a027a28f352387b4903/master.txt
1	5	dub	https://embedplayer2.xyz/cdn/hls/33175e4a36af8f7afd3b41de7da44a72/master.txt
1	6	dub	https://embedplayer2.xyz/cdn/hls/006bf91746904b04a5b415e2b3019b24/master.txt
